;Scopy version,f4beeb1
;Exported on,dimanche octobre 13/10/2024
;Device,M2K
;Nr of samples,6400
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
668,-2.532,3.00144,3.20276
669,-2.531,3.00144,3.20276
670,-2.53,3.00144,3.20276
671,-2.529,3.01974,3.22106
672,-2.528,2.98314,3.18446
673,-2.527,2.98314,3.18446
674,-2.526,2.98314,3.18446
675,-2.525,3.00144,3.18446
676,-2.524,3.00144,3.22106
677,-2.523,3.00144,3.18446
678,-2.522,3.00144,3.18446
679,-2.521,3.00144,3.22106
680,-2.52,3.00144,3.22106
681,-2.519,3.00144,3.22106
682,-2.518,3.03804,3.23936
683,-2.517,3.01974,3.23936
684,-2.516,3.01974,3.23936
685,-2.515,3.03804,3.25766
686,-2.514,3.00144,3.22106
687,-2.513,3.00144,3.20276
688,-2.512,3.00144,3.20276
689,-2.511,3.00144,3.20276
690,-2.51,3.00144,3.20276
691,-2.509,3.00144,3.20276
692,-2.508,3.00144,3.20276
693,-2.507,2.98314,3.18446
694,-2.506,2.98314,3.18446
695,-2.505,3.00144,3.18446
696,-2.504,3.00144,3.22106
697,-2.503,3.00144,3.18446
698,-2.502,3.00144,3.18446
699,-2.501,3.00144,3.22106
700,-2.5,3.00144,3.20276
701,-2.499,3.00144,3.23936
702,-2.498,3.03804,3.22106
703,-2.497,3.01974,3.25766
704,-2.496,3.01974,3.23936
705,-2.495,3.01974,3.23936
706,-2.494,3.00144,3.22106
707,-2.493,3.00144,3.20276
708,-2.492,3.00144,3.20276
709,-2.491,3.00144,3.20276
710,-2.49,3.00144,3.20276
711,-2.489,3.00144,3.20276
712,-2.488,3.00144,3.20276
713,-2.487,2.98314,3.18446
714,-2.486,2.98314,3.18446
715,-2.485,3.00144,3.18446
716,-2.484,3.00144,3.22106
717,-2.483,3.00144,3.20276
718,-2.482,3.00144,3.20276
719,-2.481,3.00144,3.20276
720,-2.48,3.00144,3.22106
721,-2.479,3.01974,3.22106
722,-2.478,3.01974,3.23936
723,-2.477,3.01974,3.23936
724,-2.476,3.01974,3.23936
725,-2.475,3.03804,3.25766
726,-2.474,3.00144,3.22106
727,-2.473,3.00144,3.22106
728,-2.472,3.00144,3.20276
729,-2.471,3.00144,3.20276
730,-2.47,3.00144,3.20276
731,-2.469,3.00144,3.20276
732,-2.468,3.01974,3.22106
733,-2.467,2.98314,3.18446
734,-2.466,2.98314,3.18446
735,-2.465,3.00144,3.20276
736,-2.464,3.01974,3.22106
737,-2.463,2.98314,3.18446
738,-2.462,3.00144,3.18446
739,-2.461,3.00144,3.22106
740,-2.46,3.00144,3.20276
741,-2.459,3.00144,3.23936
742,-2.458,3.03804,3.23936
743,-2.457,3.01974,3.23936
744,-2.456,3.01974,3.23936
745,-2.455,3.03804,3.25766
746,-2.454,3.00144,3.22106
747,-2.453,3.00144,3.22106
748,-2.452,3.00144,3.20276
749,-2.451,3.00144,3.20276
750,-2.45,3.00144,3.20276
751,-2.449,3.00144,3.20276
752,-2.448,3.00144,3.20276
753,-2.447,3.00144,3.20276
754,-2.446,2.98314,3.18446
755,-2.445,3.00144,3.20276
756,-2.444,3.00144,3.20276
757,-2.443,2.98314,3.18446
758,-2.442,2.98314,3.18446
759,-2.441,3.01974,3.22106
760,-2.44,3.00144,3.20276
761,-2.439,3.00144,3.23936
762,-2.438,3.03804,3.23936
763,-2.437,3.01974,3.23936
764,-2.436,3.01974,3.23936
765,-2.435,3.03804,3.23936
766,-2.434,3.00144,3.23936
767,-2.433,3.00144,3.20276
768,-2.432,3.00144,3.20276
769,-2.431,3.00144,3.20276
770,-2.43,3.00144,3.20276
771,-2.429,3.00144,3.20276
772,-2.428,3.01974,3.22106
773,-2.427,2.98314,3.18446
774,-2.426,2.98314,3.18446
775,-2.425,3.00144,3.20276
776,-2.424,3.01974,3.22106
777,-2.423,2.98314,3.18446
778,-2.422,3.00144,3.18446
